time,epoch,train_loss,val_loss,psnr,ssim,is_best,best_metric,best_metric_value,best_checkpoint
time=2025-10-14 08:22:19,epoch=84,train_loss=0.020932,val_loss=0.023265,psnr=25.477759,ssim=0.776345,is_best=True,best_metric=ssim,best_metric_value=0.776345,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:23:59,epoch=85,train_loss=0.020888,val_loss=0.023316,psnr=25.446517,ssim=0.776106,is_best=False,best_metric=ssim,best_metric_value=0.776345,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:25:39,epoch=86,train_loss=0.020816,val_loss=0.023243,psnr=25.463893,ssim=0.776825,is_best=True,best_metric=ssim,best_metric_value=0.776825,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:27:19,epoch=87,train_loss=0.020788,val_loss=0.023201,psnr=25.478824,ssim=0.776743,is_best=False,best_metric=ssim,best_metric_value=0.776825,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:28:59,epoch=88,train_loss=0.020726,val_loss=0.023226,psnr=25.448691,ssim=0.776377,is_best=False,best_metric=ssim,best_metric_value=0.776825,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:30:39,epoch=89,train_loss=0.020671,val_loss=0.023203,psnr=25.525462,ssim=0.778400,is_best=True,best_metric=ssim,best_metric_value=0.778400,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:32:19,epoch=90,train_loss=0.020619,val_loss=0.023154,psnr=25.538482,ssim=0.777454,is_best=False,best_metric=ssim,best_metric_value=0.778400,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:33:59,epoch=91,train_loss=0.020609,val_loss=0.023095,psnr=25.523532,ssim=0.778804,is_best=True,best_metric=ssim,best_metric_value=0.778804,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:35:39,epoch=92,train_loss=0.020520,val_loss=0.023054,psnr=25.537842,ssim=0.778599,is_best=False,best_metric=ssim,best_metric_value=0.778804,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:37:19,epoch=93,train_loss=0.020512,val_loss=0.023052,psnr=25.561810,ssim=0.777510,is_best=False,best_metric=ssim,best_metric_value=0.778804,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:38:59,epoch=94,train_loss=0.020452,val_loss=0.023007,psnr=25.582014,ssim=0.779735,is_best=True,best_metric=ssim,best_metric_value=0.779735,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:40:38,epoch=95,train_loss=0.020384,val_loss=0.023099,psnr=25.522839,ssim=0.778012,is_best=False,best_metric=ssim,best_metric_value=0.779735,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:42:18,epoch=96,train_loss=0.020375,val_loss=0.022967,psnr=25.547363,ssim=0.777948,is_best=False,best_metric=ssim,best_metric_value=0.779735,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:43:58,epoch=97,train_loss=0.020312,val_loss=0.022875,psnr=25.641482,ssim=0.779594,is_best=False,best_metric=ssim,best_metric_value=0.779735,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:45:38,epoch=98,train_loss=0.020289,val_loss=0.022848,psnr=25.641820,ssim=0.779614,is_best=False,best_metric=ssim,best_metric_value=0.779735,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:47:18,epoch=99,train_loss=0.020250,val_loss=0.022744,psnr=25.692172,ssim=0.781593,is_best=True,best_metric=ssim,best_metric_value=0.781593,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:48:58,epoch=100,train_loss=0.020174,val_loss=0.022797,psnr=25.623766,ssim=0.780075,is_best=False,best_metric=ssim,best_metric_value=0.781593,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:50:38,epoch=101,train_loss=0.020141,val_loss=0.022810,psnr=25.654010,ssim=0.780242,is_best=False,best_metric=ssim,best_metric_value=0.781593,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:52:17,epoch=102,train_loss=0.020140,val_loss=0.022729,psnr=25.665798,ssim=0.781513,is_best=False,best_metric=ssim,best_metric_value=0.781593,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:53:57,epoch=103,train_loss=0.020082,val_loss=0.022682,psnr=25.687124,ssim=0.781181,is_best=False,best_metric=ssim,best_metric_value=0.781593,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:55:37,epoch=104,train_loss=0.020042,val_loss=0.022602,psnr=25.716895,ssim=0.782300,is_best=True,best_metric=ssim,best_metric_value=0.782300,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:57:17,epoch=105,train_loss=0.019987,val_loss=0.022649,psnr=25.699245,ssim=0.782588,is_best=True,best_metric=ssim,best_metric_value=0.782588,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 08:58:57,epoch=106,train_loss=0.019960,val_loss=0.022651,psnr=25.724462,ssim=0.782334,is_best=False,best_metric=ssim,best_metric_value=0.782588,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:00:37,epoch=107,train_loss=0.019941,val_loss=0.022626,psnr=25.702813,ssim=0.781482,is_best=False,best_metric=ssim,best_metric_value=0.782588,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:02:17,epoch=108,train_loss=0.019888,val_loss=0.022564,psnr=25.717896,ssim=0.782004,is_best=False,best_metric=ssim,best_metric_value=0.782588,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:03:57,epoch=109,train_loss=0.019867,val_loss=0.022587,psnr=25.767506,ssim=0.783797,is_best=True,best_metric=ssim,best_metric_value=0.783797,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:05:37,epoch=110,train_loss=0.019821,val_loss=0.022642,psnr=25.741083,ssim=0.781298,is_best=False,best_metric=ssim,best_metric_value=0.783797,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:07:17,epoch=111,train_loss=0.019813,val_loss=0.022511,psnr=25.790765,ssim=0.782239,is_best=False,best_metric=ssim,best_metric_value=0.783797,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:08:57,epoch=112,train_loss=0.019759,val_loss=0.022579,psnr=25.751287,ssim=0.783539,is_best=False,best_metric=ssim,best_metric_value=0.783797,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:10:37,epoch=113,train_loss=0.019716,val_loss=0.022461,psnr=25.817545,ssim=0.784146,is_best=True,best_metric=ssim,best_metric_value=0.784146,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:12:17,epoch=114,train_loss=0.019673,val_loss=0.022445,psnr=25.817444,ssim=0.783912,is_best=False,best_metric=ssim,best_metric_value=0.784146,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:13:57,epoch=115,train_loss=0.019641,val_loss=0.022432,psnr=25.792355,ssim=0.784176,is_best=True,best_metric=ssim,best_metric_value=0.784176,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:15:37,epoch=116,train_loss=0.019646,val_loss=0.022448,psnr=25.765194,ssim=0.782556,is_best=False,best_metric=ssim,best_metric_value=0.784176,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:17:17,epoch=117,train_loss=0.019575,val_loss=0.022488,psnr=25.799134,ssim=0.785586,is_best=True,best_metric=ssim,best_metric_value=0.785586,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:18:57,epoch=118,train_loss=0.019596,val_loss=0.022376,psnr=25.852294,ssim=0.784584,is_best=False,best_metric=ssim,best_metric_value=0.785586,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:20:37,epoch=119,train_loss=0.019537,val_loss=0.022333,psnr=25.822824,ssim=0.784724,is_best=False,best_metric=ssim,best_metric_value=0.785586,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:22:16,epoch=120,train_loss=0.019494,val_loss=0.022272,psnr=25.854943,ssim=0.785800,is_best=True,best_metric=ssim,best_metric_value=0.785800,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:23:56,epoch=121,train_loss=0.019461,val_loss=0.022283,psnr=25.857608,ssim=0.785968,is_best=True,best_metric=ssim,best_metric_value=0.785968,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:25:36,epoch=122,train_loss=0.019428,val_loss=0.022299,psnr=25.844650,ssim=0.785630,is_best=False,best_metric=ssim,best_metric_value=0.785968,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:27:16,epoch=123,train_loss=0.019404,val_loss=0.022272,psnr=25.870409,ssim=0.785221,is_best=False,best_metric=ssim,best_metric_value=0.785968,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:28:56,epoch=124,train_loss=0.019372,val_loss=0.022294,psnr=25.857876,ssim=0.786033,is_best=True,best_metric=ssim,best_metric_value=0.786033,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:30:36,epoch=125,train_loss=0.019349,val_loss=0.022248,psnr=25.884765,ssim=0.786329,is_best=True,best_metric=ssim,best_metric_value=0.786329,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:32:16,epoch=126,train_loss=0.019297,val_loss=0.022264,psnr=25.871272,ssim=0.784881,is_best=False,best_metric=ssim,best_metric_value=0.786329,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:33:56,epoch=127,train_loss=0.019292,val_loss=0.022180,psnr=25.914155,ssim=0.787345,is_best=True,best_metric=ssim,best_metric_value=0.787345,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
